LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION ID,REGION TYPE,REGION NAME,HOMES SOLD NSA,HOMES SOLD NSA YOY (%),MEDIAN SALE PRICE NSA ($),MEDIAN SALE PRICE NSA YOY (%),MEDIAN DAYS ON MARKET NSA (DAYS),MEDIAN DAYS ON MARKET NSA YOY (%),NEW LISTINGS SA,NEW LISTINGS NSA,NEW LISTINGS SA YOY (%),NEW LISTINGS NSA YOY (%),ACTIVE LISTINGS SA,ACTIVE LISTINGS NSA,ACTIVE LISTINGS SA YOY (%),ACTIVE LISTINGS NSA YOY (%),PENDING SALES SA,PENDING SALES NSA,PENDING SALES SA YOY (%),PENDING SALES NSA YOY (%)
2026-06-02,Weekly,2026-04-27,2026-05-24,NA,Country,National,319306,4.36,399325,2.39,40,205.12,368732,436159,0.55,0.55,1496526,1544723,1.04,1,337104,382863,4.82,4.82
2026-06-02,Weekly,2026-04-20,2026-05-17,NA,Country,National,306304,1.84,397632,1.96,41,302.69,367934,442970,-0.65,-0.65,1495691,1539495,1.44,1.4,342288,387640,7.94,7.94
2026-06-02,Weekly,2026-04-13,2026-05-10,NA,Country,National,299547,1.6,394732,1.47,42,300.64,368894,440968,-1.93,2.75,1488665,1518803,1.18,1.89,345766,390780,9.49,9.49
2026-06-02,Weekly,2026-04-06,2026-05-03,NA,Country,National,292402,0.91,395000,1.83,43,300,369677,443667,-2.81,2.51,1464364,1481449,-0.12,0.73,336631,378471,6.64,6.65
2026-06-02,Weekly,2026-03-30,2026-04-26,NA,Country,National,277894,2.86,395000,2.6,45,400,376415,427791,-1.25,-0.59,1476170,1467738,1.01,1.12,332150,369001,5.13,5.13
2026-06-02,Weekly,2026-03-23,2026-04-19,NA,Country,National,277403,2.07,392900,1.79,47,500,378707,421926,0.51,0.51,1470820,1451350,1.58,1.6,327159,359438,1.5,1.5
2026-06-02,Weekly,2026-03-16,2026-04-12,NA,Country,National,270391,2.19,390000,1.3,49,600,378737,408519,1.14,-3.47,1460809,1426363,1.48,0.74,319937,349295,-1.17,-1.18
2026-06-02,Weekly,2026-03-09,2026-04-05,NA,Country,National,267183,0.88,390000,1.3,51,600,378755,397286,0.59,-4.65,1453024,1400424,1.61,0.7,323862,352370,0.58,0.57
2026-06-02,Weekly,2026-03-02,2026-03-29,NA,Country,National,248265,-1.98,390000,1.3,53,600,378411,403886,0.2,-0.41,1448243,1389648,2.06,2.09,325502,349298,1.87,1.88
2026-06-02,Weekly,2026-02-23,2026-03-22,NA,Country,National,255347,-1.51,387718,2.03,57,700,372666,392404,-1.49,-1.56,1441372,1379247,2.23,2.34,321927,342652,2.52,2.51
2026-06-02,Weekly,2026-02-16,2026-03-15,NA,Country,National,243802,-1.38,385000,1.32,60,800,371532,376652,-0.42,-0.4,1438710,1358173,2.78,2.92,319119,333118,3.4,3.4
2026-06-02,Weekly,2026-02-09,2026-03-08,NA,Country,National,237543,-1.11,383000,0.79,63,800,367457,359609,0.01,0.05,1429027,1333187,2.97,3.23,313918,318819,2.58,2.57
2026-06-02,Weekly,2026-02-02,2026-03-01,NA,Country,National,223821,-0.73,380000,0.53,66,900,359823,336674,-1.81,-1.83,1419945,1304622,2.99,3.2,308942,306060,1,1.01
2026-06-02,Weekly,2026-01-26,2026-02-22,NA,Country,National,203788,-1.21,380000,1.33,68,900,355324,319941,-3.35,-3.34,1415366,1293409,3.18,3.56,302596,291981,-1.53,-1.54
2026-06-02,Weekly,2026-01-19,2026-02-15,NA,Country,National,191745,-2.29,377000,0.53,68,800,354671,311606,-3.78,-3.81,1410524,1279587,3.36,3.7,302344,285649,-1.54,-1.53
2026-06-02,Weekly,2026-01-12,2026-02-08,NA,Country,National,190033,-1.7,375400,0.11,66,700,360159,309054,-3.32,-3.31,1408854,1268156,3.7,4.08,303409,280725,-0.96,-0.95
2026-06-02,Weekly,2026-01-05,2026-02-01,NA,Country,National,192543,-0.15,376888,0.5,64,700,365696,305429,-0.95,-1.03,1411610,1258614,4.69,5.16,302534,269442,1.01,0.97
2026-06-02,Weekly,2025-12-29,2026-01-25,NA,Country,National,191155,4.29,375000,0,63,700,372843,273136,1.11,-1,1419893,1266176,5.77,6.81,310657,246980,4.21,2.73
2026-06-02,Weekly,2025-12-22,2026-01-18,NA,Country,National,189785,3.06,375990,0.26,61,700,361346,223320,-0.29,-2.44,1415533,1239722,6.2,7.06,306323,213105,2.74,1.23
2026-06-02,Weekly,2025-12-15,2026-01-11,NA,Country,National,214657,1.58,380000,0.53,59,700,355845,189524,-2.7,-4.52,1414144,1237593,6.34,7.3,306937,199088,0.1,-1.35
2026-06-02,Weekly,2025-12-08,2026-01-04,NA,Country,National,230652,0.29,380000,0.03,57,700,340690,169418,-7.43,-7.67,1415616,1240456,6.55,7.31,304725,200098,-3.18,-3.17
2026-06-02,Weekly,2025-12-01,2025-12-28,NA,Country,National,245647,-0.29,385000,0.65,55,600,346521,193633,-5.5,-3.18,1428470,1285640,7.43,8.52,298237,216339,-3.96,-2.56
2026-06-02,Weekly,2025-11-24,2025-12-21,NA,Country,National,261257,0.55,385000,1.32,54,600,344941,208929,-5.69,-3.71,1434571,1329587,7.88,8.59,301190,232079,-3.49,-2.05
2026-06-02,Weekly,2025-11-17,2025-12-14,NA,Country,National,258497,2.2,385000,1.32,52,600,343794,229129,-5.48,-3.61,1438004,1368037,8.36,8.82,304355,247861,-2.97,-1.55
2026-06-02,Weekly,2025-11-10,2025-12-07,NA,Country,National,257003,2.3,386000,1.34,51,600,353848,248648,-2.38,-2.32,1441308,1396482,9.01,9.27,312477,259681,-0.13,-0.14
2026-06-02,Weekly,2025-11-03,2025-11-30,NA,Country,National,250830,1.6,387500,1.97,50,600,358609,263015,0,0.03,1446485,1416814,9.8,9.97,322767,273517,0.95,0.97
2026-06-02,Weekly,2025-10-27,2025-11-23,NA,Country,National,277174,0.55,390000,1.3,49,500,358385,299921,1.1,1.06,1453079,1472336,10.27,10.24,323683,296136,1.52,1.52
2026-06-02,Weekly,2025-10-20,2025-11-16,NA,Country,National,269340,-0.57,390000,1.3,49,600,360844,315214,3.16,3.19,1454250,1488148,10.87,10.58,324370,301073,2.95,2.94
2026-06-02,Weekly,2025-10-13,2025-11-09,NA,Country,National,269748,-0.49,390000,1.3,49,600,359707,324654,3.34,3.33,1455097,1496923,11.18,10.81,326801,304655,3.62,3.63
2026-06-02,Weekly,2025-10-06,2025-11-02,NA,Country,National,268970,-0.01,390000,1.3,49,700,360943,332994,3.89,3.84,1457919,1502042,11.27,10.79,327667,308102,4,4
2026-06-02,Weekly,2025-09-29,2025-10-26,NA,Country,National,273016,4.05,390000,1.3,49,700,364679,346691,4.16,4.24,1465457,1525136,11.66,11.31,327125,312515,4.07,4.08
2026-06-02,Weekly,2025-09-22,2025-10-19,NA,Country,National,280537,4.33,389990,1.38,48,600,362420,349144,3.56,3.52,1463725,1528588,11.78,11.18,327377,313748,3.06,3.06
2026-06-02,Weekly,2025-09-15,2025-10-12,NA,Country,National,287847,5.18,389000,2.1,48,700,362722,355472,3.06,3.08,1463985,1532169,12.08,11.51,326026,318221,2.33,2.34
2026-06-02,Weekly,2025-09-08,2025-10-05,NA,Country,National,289914,4.34,389000,2.37,48,700,360901,361260,1.25,1.22,1461590,1530669,12.09,11.41,321282,320845,1.94,1.92
2026-06-02,Weekly,2025-09-01,2025-09-28,NA,Country,National,262181,2.35,389203,2.42,47,600,360428,361365,1.23,1.25,1462348,1522351,12.6,12.06,320599,313868,2.05,2.06
2026-06-02,Weekly,2025-08-25,2025-09-21,NA,Country,National,283937,3.75,389900,2.36,46,600,358225,357466,0.06,0.05,1463016,1535347,12.96,12.29,315702,316714,2.49,2.48
2026-06-02,Weekly,2025-08-18,2025-09-14,NA,Country,National,285307,3.59,390000,1.56,46,700,356243,354186,0.01,0,1463303,1534777,13.6,12.91,314495,318604,3.67,3.67
2026-06-02,Weekly,2025-08-11,2025-09-07,NA,Country,National,294382,3.22,390000,1.3,45,700,355462,351811,0.2,0.19,1463045,1533585,14,13.25,314467,320711,3.77,3.76
2026-06-02,Weekly,2025-08-04,2025-08-31,NA,Country,National,302335,2.75,390000,1.3,45,700,353841,352385,0.31,0.33,1463529,1532545,14.5,13.7,314944,330701,4.26,4.26
2026-06-02,Weekly,2025-07-28,2025-08-24,NA,Country,National,297790,2.05,393000,1.42,44,700,353081,362477,0.83,0.82,1467535,1553937,15.13,14.25,316308,333536,4.07,4.07
2026-06-02,Weekly,2025-07-21,2025-08-17,NA,Country,National,298486,0.37,393000,1.73,43,600,352941,366433,1.45,1.46,1467739,1557594,15.66,14.62,317451,336402,3.58,3.58
2026-06-02,Weekly,2025-07-14,2025-08-10,NA,Country,National,301067,0.55,394900,2.17,42,600,352465,373452,1.55,1.54,1468320,1561404,16.13,15.03,319061,340673,3.44,3.45
2026-06-02,Weekly,2025-07-07,2025-08-03,NA,Country,National,307658,-0.87,395000,1.94,42,700,353038,387458,1.6,1.63,1469071,1560446,16.56,15.27,317097,339359,2.71,2.71
2026-06-02,Weekly,2025-06-30,2025-07-27,NA,Country,National,295358,7.17,396850,1.78,41,600,349951,371297,2.54,2.5,1476951,1560435,17.67,16.8,317978,331404,2.32,3.5
2026-06-02,Weekly,2025-06-23,2025-07-20,NA,Country,National,310402,2.83,399000,2.31,40,600,350139,377557,1.95,1.98,1474334,1564064,17.58,16.35,317423,333689,2.25,2.25
2026-06-02,Weekly,2025-06-16,2025-07-13,NA,Country,National,308587,3.34,399900,1.81,39,500,348403,381166,2.06,2.07,1473432,1556785,17.76,16.66,316014,330161,1.25,1.25
